NAME,DATA TIMESTAMP,RAINFALL DAY MM
Bakung,2025-05-28 00:00:00.0 +0:00,7
Bakung,2025-05-29 00:00:00.0 +0:00,0
Bakung,2025-05-30 00:00:00.0 +0:00,0
Bakung,2025-05-31 00:00:00.0 +0:00,8888
Bakung,2025-06-01 00:00:00.0 +0:00,17.5
Bakung,2025-06-02 00:00:00.0 +0:00,0
Bakung,2025-06-03 00:00:00.0 +0:00,29.5
Bakung,2025-06-04 00:00:00.0 +0:00,1
Bakung,2025-06-05 00:00:00.0 +0:00,0
Bakung,2025-06-06 00:00:00.0 +0:00,18.5
Bakung,2025-06-07 00:00:00.0 +0:00,0
Bakung,2025-06-08 00:00:00.0 +0:00,1
Bakung,2025-06-09 00:00:00.0 +0:00,57
Bakung,2025-06-10 00:00:00.0 +0:00,0
Bakung,2025-06-11 00:00:00.0 +0:00,52
Bakung,2025-06-12 00:00:00.0 +0:00,2
Bakung,2025-06-13 00:00:00.0 +0:00,8888
Bakung,2025-06-14 00:00:00.0 +0:00,1
Bakung,2025-06-15 00:00:00.0 +0:00,4.5
Bakung,2025-06-16 00:00:00.0 +0:00,0
Bakung,2025-06-17 00:00:00.0 +0:00,4
Bakung,2025-06-18 00:00:00.0 +0:00,35
Bakung,2025-06-19 00:00:00.0 +0:00,2.5
Bakung,2025-06-20 00:00:00.0 +0:00,5.5
Bakung,2025-06-21 00:00:00.0 +0:00,49.5
Bakung,2025-06-22 00:00:00.0 +0:00,1
Bakung,2025-06-23 00:00:00.0 +0:00,0
Bakung,2025-06-24 00:00:00.0 +0:00,21
Bakung,2025-06-25 00:00:00.0 +0:00,47
Bakung,2025-06-26 00:00:00.0 +0:00,5
Bakung,2025-06-27 00:00:00.0 +0:00,41
Bakung,2025-06-28 00:00:00.0 +0:00,12.5
Bakung,2025-06-29 00:00:00.0 +0:00,3.5
Bakung,2025-06-30 00:00:00.0 +0:00,98.5
Bakung,2025-07-01 00:00:00.0 +0:00,17.5
Bakung,2025-07-02 00:00:00.0 +0:00,8
Bakung,2025-07-03 00:00:00.0 +0:00,20
Bakung,2025-07-04 00:00:00.0 +0:00,0
Bakung,2025-07-05 00:00:00.0 +0:00,0
Bakung,2025-07-06 00:00:00.0 +0:00,8
Bakung,2025-07-07 00:00:00.0 +0:00,51.5
Bakung,2025-07-08 00:00:00.0 +0:00,8888
Bakung,2025-07-09 00:00:00.0 +0:00,0
Bakung,2025-07-10 00:00:00.0 +0:00,2
Bakung,2025-07-11 00:00:00.0 +0:00,31.5
Bakung,2025-07-12 00:00:00.0 +0:00,10
Bakung,2025-07-13 00:00:00.0 +0:00,0
Bakung,2025-07-14 00:00:00.0 +0:00,27.5
Bakung,2025-07-15 00:00:00.0 +0:00,9
Bakung,2025-07-16 00:00:00.0 +0:00,73.5
Bakung,2025-07-17 00:00:00.0 +0:00,8
Bakung,2025-07-18 00:00:00.0 +0:00,0
Bakung,2025-07-19 00:00:00.0 +0:00,0
Bakung,2025-07-20 00:00:00.0 +0:00,0
Bakung,2025-07-21 00:00:00.0 +0:00,0
Bakung,2025-07-22 00:00:00.0 +0:00,0
Bakung,2025-07-23 00:00:00.0 +0:00,1
Bakung,2025-07-24 00:00:00.0 +0:00,4
Bakung,2025-07-25 00:00:00.0 +0:00,2
Bakung,2025-07-26 00:00:00.0 +0:00,0
Bakung,2025-07-27 00:00:00.0 +0:00,0
Bakung,2025-07-28 00:00:00.0 +0:00,8888
Bakung,2025-07-29 00:00:00.0 +0:00,2.5
Bakung,2025-07-30 00:00:00.0 +0:00,0
Bakung,2025-07-31 00:00:00.0 +0:00,0
Bakung,2025-08-01 00:00:00.0 +0:00,8888
Bakung,2025-08-02 00:00:00.0 +0:00,38
Bakung,2025-08-03 00:00:00.0 +0:00,11.5
Bakung,2025-08-04 00:00:00.0 +0:00,31
Bakung,2025-08-05 00:00:00.0 +0:00,11
Bakung,2025-08-06 00:00:00.0 +0:00,29.5
